entry_time,exit_time,side,entry_px,exit_px,size_mult,notional,gross_return,pnl,win,hold_hours
2022-04-22 00:00:00+00:00,2022-04-25 00:00:00+00:00,SHORT,40449.7,39433.4,1.0660909711661573,1066.0909711661573,0.025125031829654976,25.506260418458098,True,72
2022-04-25 00:00:00+00:00,2022-04-28 00:00:00+00:00,SHORT,39433.4,39209.0,1.5855489420660356,1585.5489420660356,0.005690607454594376,7.120077898865966,True,72
2022-04-29 23:00:00+00:00,2022-05-02 23:00:00+00:00,SHORT,38582.0,38591.9,0.9438715889174408,943.8715889174408,-0.00025659634026231615,-1.3748399020947217,False,72
2022-05-03 19:00:00+00:00,2022-05-06 19:00:00+00:00,SHORT,37749.7,35923.9,1.0528048415888518,1052.8048415888518,0.04836594727905108,49.6565376535095,True,72
2022-05-06 19:00:00+00:00,2022-05-09 19:00:00+00:00,SHORT,35923.9,30771.3,0.7427767210628028,742.7767210628028,0.14343097492198797,105.64585718611997,True,72
2022-05-11 08:00:00+00:00,2022-05-14 08:00:00+00:00,SHORT,30598.9,29414.0,0.4325164947848178,432.5164947848178,0.03872361424757109,16.229582106017098,True,72
2022-05-30 11:00:00+00:00,2022-06-02 11:00:00+00:00,LONG,30594.7,30016.8,0.9970441349028809,997.044134902881,-0.018888892520599998,-20.029512464358582,False,72
2022-06-06 11:00:00+00:00,2022-06-09 11:00:00+00:00,LONG,31472.0,30424.0,1.246419557203211,1246.419557203211,-0.03329944077275038,-43.00077769172993,False,72
2022-06-18 02:00:00+00:00,2022-06-21 02:00:00+00:00,SHORT,20381.1,20661.1,0.4255301745618516,425.5301745618516,-0.0137382182512229,-6.356662620085918,False,72
2022-06-21 02:00:00+00:00,2022-06-24 02:00:00+00:00,LONG,20661.1,21038.4,0.31463267087063224,314.63267087063224,0.018261370401382537,5.368064538100138,True,72
2022-06-24 02:00:00+00:00,2022-06-27 02:00:00+00:00,LONG,21038.4,21080.0,0.5474201356712938,547.4201356712938,0.0019773366795954317,0.4255297506064041,True,72
2022-06-27 08:00:00+00:00,2022-06-30 08:00:00+00:00,LONG,21354.9,19423.1,0.9488056609830866,948.8056609830866,-0.09046167390154025,-86.96911509296703,False,72
2022-07-04 13:00:00+00:00,2022-07-07 13:00:00+00:00,LONG,19699.5,20422.2,1.0804354681825736,1080.4354681825737,0.036686210309906375,38.340560250208966,True,72
2022-07-07 13:00:00+00:00,2022-07-10 13:00:00+00:00,LONG,20422.2,21301.6,0.7868639832818958,786.8639832818958,0.04306098265612901,32.93889955689603,True,72
2022-07-14 20:00:00+00:00,2022-07-17 20:00:00+00:00,LONG,20603.0,21020.9,0.5948805030670151,594.8805030670151,0.02028345386594199,11.352374636027745,True,72
2022-07-17 20:00:00+00:00,2022-07-20 20:00:00+00:00,LONG,21020.9,23650.6,0.8227111204665688,822.7111204665688,0.1250993059288612,101.93333680576359,True,72
2022-07-20 20:00:00+00:00,2022-07-23 20:00:00+00:00,LONG,23650.6,22266.5,0.515607962911728,515.6079629117279,-0.058522828173492414,-30.793565773861573,False,72
2022-07-27 21:00:00+00:00,2022-07-30 21:00:00+00:00,LONG,22769.4,23951.8,0.6856515763046422,685.6515763046423,0.05192934376839076,34.7826545196972,True,72
